ID Persona,Cantidad Acumulada,Cantidad Diaria,ultimo_leido,Fecha


074,0,0,074000576,2024-02-08 14:35
074,0,0,074000576,2024-02-08 14:35
074,2,2,074000578,2024-02-08 14:35
074,3,3,074000580,2024-02-08 14:35
074,2,2,074000578,2024-02-08 14:35
074,4,4,074000581,2024-02-08 14:35
074,3,3,074000580,2024-02-08 14:35
077,0,0,077000292,2024-02-08 14:35
074,4,4,074000581,2024-02-08 14:35
077,0,0,077000292,2024-02-08 14:35
012,0,0,012001166,2024-02-08 14:35
012,0,0,012001117,2024-02-08 14:35
012,2,2,012001166,2024-02-08 14:35
012,3,3,012001111,2024-02-08 14:36
057,0,0,057001639,2024-02-08 14:36
074,5,5,074000582,2024-02-08 14:36
057,2,2,057001627,2024-02-08 14:36
057,0,0,057001639,2024-02-08 14:36
057,3,3,057001633,2024-02-08 14:36
057,4,4,057001636,2024-02-08 14:36
057,2,2,057001633,2024-02-08 14:36
057,5,5,057001630,2024-02-08 14:36
057,3,3,057001636,2024-02-08 14:36
057,6,6,057001621,2024-02-08 14:36
057,4,4,057001630,2024-02-08 14:36
057,7,7,057001685,2024-02-08 14:36
057,5,5,057001621,2024-02-08 14:36
057,6,6,057001685,2024-02-08 14:36
057,8,8,057001669,2024-02-08 14:36
057,7,7,057001682,2024-02-08 14:36
057,9,9,057001642,2024-02-08 14:36
057,8,8,057001669,2024-02-08 14:36
077,2,2,077000284,2024-02-08 14:36
057,9,9,057001642,2024-02-08 14:36
077,2,2,077000284,2024-02-08 14:36
012,2,2,012001120,2024-02-08 14:36
012,3,3,012001123,2024-02-08 14:36
059,0,0,059000692,2024-02-08 14:36
012,4,4,012001120,2024-02-08 14:36
012,5,5,012001123,2024-02-08 14:36
059,0,0,059000692,2024-02-08 14:36
060,0,0,060001127,2024-02-08 14:36
036,0,0,036001097,2024-02-08 14:36
059,2,2,059000688,2024-02-08 14:36
060,0,0,060001127,2024-02-08 14:36
036,2,2,036001136,2024-02-08 14:36
036,0,0,036001097,2024-02-08 14:36
036,3,3,036001134,2024-02-08 14:36
036,2,2,036001136,2024-02-08 14:36
036,4,4,036001135,2024-02-08 14:37
036,5,5,036001138,2024-02-08 14:37
036,3,3,036001135,2024-02-08 14:37
036,4,4,036001138,2024-02-08 14:37
059,2,2,059000701,2024-02-08 14:37
059,3,3,059000694,2024-02-08 14:37
060,2,2,060001110,2024-02-08 14:37
059,4,4,059000701,2024-02-08 14:37
036,6,6,036001137,2024-02-08 14:37
060,2,2,060001110,2024-02-08 14:37
018,0,0,018001170,2024-02-08 14:37
036,5,5,036001137,2024-02-08 14:37
060,3,3,060001125,2024-02-08 14:37
018,0,0,018001170,2024-02-08 14:37
018,2,2,018001310,2024-02-08 14:37
018,3,3,018001313,2024-02-08 14:37
060,4,4,060001128,2024-02-08 14:37
060,3,3,060001125,2024-02-08 14:37
018,2,2,018001310,2024-02-08 14:37
060,5,5,060001129,2024-02-08 14:37
018,3,3,018001313,2024-02-08 14:37
016,0,0,016001403,2024-02-08 14:37
016,2,2,016001436,2024-02-08 14:37
060,4,4,060001128,2024-02-08 14:37
060,5,5,060001129,2024-02-08 14:37
